,player,choice,col_0,col_1,col_2,col_3,col_4,col_5,col_6
0,Player 1,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,Player 2,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,Player 1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,Player 2,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,Player 1,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,Player 2,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,Player 1,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
0,Player 2,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 1.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
0,Player 1,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[-1.0, 1.0, 1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 1.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
0,Player 2,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[-1.0, 1.0, 1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 1.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]"
1,Player 2,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 1,3,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 2,4,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 1,5,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 2,0,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 1,0,"[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 2,1,"[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 1,3,"[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 2,0,"[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 1,2,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 2,3,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 1,2,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 2,1,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 1,4,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 2,3,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 1,6,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 2,5,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1,Player 1,6,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1,Player 2,4,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
1,Player 1,3,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
1,Player 2,4,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
1,Player 1,6,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
1,Player 2,5,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
1,Player 1,3,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
1,Player 2,4,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
1,Player 1,5,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, -1.0, -1.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
1,Player 2,5,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, -1.0, -1.0, -1.0, 1.0, -1.0]","[0.0, 0.0, 1.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
1,Player 1,1,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, -1.0, -1.0, -1.0, 1.0, -1.0]","[0.0, -1.0, 1.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
1,Player 2,0,"[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, -1.0, -1.0, -1.0, 1.0, -1.0]","[0.0, -1.0, 1.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
1,Player 1,1,"[0.0, -1.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, -1.0, -1.0, -1.0, 1.0, -1.0]","[0.0, -1.0, 1.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
1,Player 2,6,"[0.0, -1.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, -1.0, -1.0, -1.0, 1.0, -1.0]","[0.0, -1.0, 1.0, -1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
1,Player 1,5,"[0.0, -1.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, -1.0, -1.0, -1.0, 1.0, -1.0]","[0.0, -1.0, 1.0, -1.0, -1.0, 1.0]","[0.0, 0.0, -1.0, 1.0, 1.0, 1.0]"
1,Player 2,4,"[0.0, -1.0, -1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, -1.0, -1.0, -1.0, 1.0, -1.0]","[1.0, -1.0, 1.0, -1.0, -1.0, 1.0]","[0.0, 0.0, -1.0, 1.0, 1.0, 1.0]"
2,Player 2,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,Player 1,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2,Player 2,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2,Player 1,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2,Player 2,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
